database,series,ni_at,T_C,label,fraction,alpha_solvus_C
mpea-02b,C_measured,4.2,950.0,A1_FCC,1.0000000000028213,1340.0
mpea-02b,C_measured,4.6,1000.0,A1_FCC,1.00000000000703,1340.0
mpea-02b,C_measured,4.6,1010.0,A1_FCC,0.999999999990076,1340.0
mpea-02b,C_measured,4.6,1020.0,A1_FCC,1.0000000000006757,1340.0
mpea-02b,C_measured,4.6,1030.0,A1_FCC,0.9999999999842486,1340.0
mpea-02b,C_measured,4.6,1040.0,A1_FCC,1.0000000000012144,1340.0
mpea-02b,C_measured,4.6,1050.0,A1_FCC,1.000000000008068,1340.0
mpea-02b,C_measured,4.6,1060.0,A1_FCC,0.9919336046178011,1340.0
mpea-02b,C_measured,4.6,1060.0,B2_BCC[A2],0.008066395345604997,1340.0
mpea-02b,C_measured,4.6,1070.0,A1_FCC,0.9394877672683427,1340.0
mpea-02b,C_measured,4.6,1070.0,B2_BCC[A2],0.06051223275988995,1340.0
mpea-02b,C_measured,4.6,1080.0,A1_FCC,0.8861848149252285,1340.0
mpea-02b,C_measured,4.6,1080.0,B2_BCC[A2],0.11381518507350402,1340.0
mpea-02b,C_measured,4.6,1090.0,A1_FCC,0.8322039816947905,1340.0
mpea-02b,C_measured,4.6,1090.0,B2_BCC[A2],0.1677960183372778,1340.0
mpea-02b,C_measured,4.6,1100.0,A1_FCC,0.7777884344439769,1340.0
mpea-02b,C_measured,4.6,1100.0,B2_BCC[A2],0.22221156557219612,1340.0
mpea-02b,C_measured,4.6,1110.0,A1_FCC,0.7232524047103152,1340.0
mpea-02b,C_measured,4.6,1110.0,B2_BCC[A2],0.27674759530152865,1340.0
mpea-02b,C_measured,4.6,1120.0,A1_FCC,0.6689831299020602,1340.0
mpea-02b,C_measured,4.6,1120.0,B2_BCC[A2],0.3310168700922584,1340.0
mpea-02b,C_measured,4.6,1130.0,A1_FCC,0.6154340736916978,1340.0
mpea-02b,C_measured,4.6,1130.0,B2_BCC[A2],0.3845659262886556,1340.0
mpea-02b,C_measured,4.6,1140.0,A1_FCC,0.5631061097125291,1340.0
mpea-02b,C_measured,4.6,1140.0,B2_BCC[A2],0.43689389031145254,1340.0
mpea-02b,C_measured,4.6,1150.0,A1_FCC,0.512515231799922,1340.0
mpea-02b,C_measured,4.6,1150.0,B2_BCC[A2],0.4874847681735714,1340.0
mpea-02b,C_measured,4.6,1160.0,A1_FCC,0.46414921365849615,1340.0
mpea-02b,C_measured,4.6,1160.0,B2_BCC[A2],0.5358507863173568,1340.0
mpea-02b,C_measured,4.6,1170.0,A1_FCC,0.41842050116065405,1340.0
mpea-02b,C_measured,4.6,1170.0,B2_BCC[A2],0.5815794988170091,1340.0
mpea-02b,C_measured,4.6,1180.0,A1_FCC,0.37562603262012256,1340.0
mpea-02b,C_measured,4.6,1180.0,B2_BCC[A2],0.6243739673477298,1340.0
mpea-02b,C_measured,4.6,1190.0,A1_FCC,0.335924039948971,1340.0
mpea-02b,C_measured,4.6,1190.0,B2_BCC[A2],0.6640759600460029,1340.0
mpea-02b,C_measured,4.6,1200.0,A1_FCC,0.2993327016437364,1340.0
mpea-02b,C_measured,4.6,1200.0,B2_BCC[A2],0.7006672983588306,1340.0
mpea-02b,C_measured,4.6,1210.0,A1_FCC,0.2657483902635049,1340.0
mpea-02b,C_measured,4.6,1210.0,B2_BCC[A2],0.7342516097351144,1340.0
mpea-02b,C_measured,4.6,1220.0,A1_FCC,0.23497598675949483,1340.0
mpea-02b,C_measured,4.6,1220.0,B2_BCC[A2],0.7650240132719598,1340.0
mpea-02b,C_measured,4.6,1230.0,A1_FCC,0.20676243847405126,1340.0
mpea-02b,C_measured,4.6,1230.0,B2_BCC[A2],0.7932375615423428,1340.0
mpea-02b,C_measured,4.6,1240.0,A1_FCC,0.1808267883409289,1340.0
mpea-02b,C_measured,4.6,1240.0,B2_BCC[A2],0.8191732116365936,1340.0
mpea-02b,C_measured,4.6,1250.0,A1_FCC,0.15690340305712988,1340.0
mpea-02b,C_measured,4.6,1250.0,B2_BCC[A2],0.8430965969466782,1340.0
mpea-02b,C_measured,4.6,1260.0,A1_FCC,0.1346773062463493,1340.0
mpea-02b,C_measured,4.6,1260.0,B2_BCC[A2],0.8653226937916583,1340.0
mpea-02b,C_measured,4.6,1270.0,A1_FCC,0.11391868570485278,1340.0
mpea-02b,C_measured,4.6,1270.0,B2_BCC[A2],0.8860813142792056,1340.0
mpea-02b,C_measured,4.6,1280.0,A1_FCC,0.09439775085667917,1340.0
mpea-02b,C_measured,4.6,1280.0,B2_BCC[A2],0.9056022491670532,1340.0
mpea-02b,C_measured,4.6,1290.0,A1_FCC,0.0759081778787523,1340.0
mpea-02b,C_measured,4.6,1290.0,B2_BCC[A2],0.9240918221231201,1340.0
mpea-02b,C_measured,4.6,1300.0,A1_FCC,0.05826648928146712,1340.0
mpea-02b,C_measured,4.6,1300.0,B2_BCC[A2],0.9417335107220173,1340.0
mpea-02b,C_measured,4.6,1310.0,A1_FCC,0.041310254985152756,1340.0
mpea-02b,C_measured,4.6,1310.0,B2_BCC[A2],0.958689745024218,1340.0
mpea-02b,C_measured,4.6,1320.0,A1_FCC,0.024895751567101148,1340.0
mpea-02b,C_measured,4.6,1320.0,B2_BCC[A2],0.9751042484236154,1340.0
mpea-02b,C_measured,4.6,1330.0,A1_FCC,0.008895468944699501,1340.0
mpea-02b,C_measured,4.6,1330.0,B2_BCC[A2],0.9911045310380293,1340.0
mpea-02b,C_measured,4.6,1340.0,B2_BCC[A2],0.9999999999880047,1340.0
mpea-02b,C_measured,4.6,1350.0,B2_BCC[A2],0.9999999999928642,1340.0
mpea-02b,C_measured,4.6,1360.0,B2_BCC[A2],1.0000000000099019,1340.0
mpea-02b,C_measured,4.6,1370.0,B2_BCC[A2],0.999999999982448,1340.0
mpea-02b,C_measured,4.6,1380.0,B2_BCC[A2],1.0000000000038067,1340.0
mpea-02b,C_measured,4.6,1390.0,B2_BCC[A2],0.9999999999958169,1340.0
mpea-02b,C_measured,4.6,1400.0,B2_BCC[A2],1.0000000000323317,1340.0
mpea-02b,C_measured,4.6,450.0,A1_FCC,0.8847089074446703,1340.0
mpea-02b,C_measured,4.6,450.0,B2_BCC[ordered],0.11529109257212944,1340.0
mpea-02b,C_measured,4.6,475.0,A1_FCC,0.8877334820217948,1340.0
mpea-02b,C_measured,4.6,475.0,B2_BCC[ordered],0.11226651797435935,1340.0
mpea-02b,C_measured,4.6,500.0,A1_FCC,0.8912132148263099,1340.0
mpea-02b,C_measured,4.6,500.0,B2_BCC[ordered],0.10878678516513962,1340.0
mpea-02b,C_measured,4.6,525.0,A1_FCC,0.8951497954317874,1340.0
mpea-02b,C_measured,4.6,525.0,B2_BCC[ordered],0.1048502045826093,1340.0
mpea-02b,C_measured,4.6,550.0,A1_FCC,0.8995402582403166,1340.0
mpea-02b,C_measured,4.6,550.0,B2_BCC[ordered],0.10045974178223885,1340.0
mpea-02b,C_measured,4.6,575.0,A1_FCC,0.9043776344340265,1340.0
mpea-02b,C_measured,4.6,575.0,B2_BCC[ordered],0.09562236557370106,1340.0
mpea-02b,C_measured,4.6,600.0,A1_FCC,0.9096517552676227,1340.0
mpea-02b,C_measured,4.6,600.0,B2_BCC[ordered],0.0903482447191807,1340.0
mpea-02b,C_measured,4.6,625.0,A1_FCC,0.9153501646788302,1340.0
mpea-02b,C_measured,4.6,625.0,B2_BCC[ordered],0.08464983532593465,1340.0
mpea-02b,C_measured,4.6,650.0,A1_FCC,0.9214590980525128,1340.0
mpea-02b,C_measured,4.6,650.0,B2_BCC[ordered],0.078540901977493,1340.0
mpea-02b,C_measured,4.6,675.0,A1_FCC,0.927964494192546,1340.0
mpea-02b,C_measured,4.6,675.0,B2_BCC[ordered],0.07203550579377217,1340.0
mpea-02b,C_measured,4.6,700.0,A1_FCC,0.9348530235778699,1340.0
mpea-02b,C_measured,4.6,700.0,B2_BCC[ordered],0.06514697644373302,1340.0
mpea-02b,C_measured,4.6,725.0,A1_FCC,0.9421131413930488,1340.0
mpea-02b,C_measured,4.6,725.0,B2_BCC[ordered],0.057886858588151895,1340.0
mpea-02b,C_measured,4.6,750.0,A1_FCC,0.9497362105122452,1340.0
mpea-02b,C_measured,4.6,750.0,B2_BCC[ordered],0.050263789498253976,1340.0
mpea-02b,C_measured,4.6,775.0,A1_FCC,0.9577177874209055,1340.0
mpea-02b,C_measured,4.6,775.0,B2_BCC[ordered],0.042282212575777654,1340.0
mpea-02b,C_measured,4.6,800.0,A1_FCC,0.9660592452057907,1340.0
mpea-02b,C_measured,4.6,800.0,B2_BCC[ordered],0.03394075481584268,1340.0
mpea-02b,C_measured,4.6,825.0,A1_FCC,0.9999999999920594,1340.0
mpea-02b,C_measured,4.6,850.0,A1_FCC,0.9999999999952106,1340.0
mpea-02b,C_measured,4.6,875.0,A1_FCC,1.0000000000029474,1340.0
mpea-02b,C_measured,4.6,900.0,A1_FCC,1.0000000000238287,1340.0
mpea-02b,C_measured,4.6,925.0,A1_FCC,0.9999999999965143,1340.0
mpea-02b,C_measured,4.6,950.0,A1_FCC,1.000000000012302,1340.0
mpea-02b,C_measured,5.0,1000.0,A1_FCC,0.9999999999965028,1340.0
mpea-02b,C_measured,5.0,1010.0,A1_FCC,0.9999999999640576,1340.0
mpea-02b,C_measured,5.0,1020.0,A1_FCC,1.0000000000035794,1340.0
mpea-02b,C_measured,5.0,1030.0,A1_FCC,1.0000000000166305,1340.0
mpea-02b,C_measured,5.0,1040.0,A1_FCC,1.0000000000146412,1340.0
mpea-02b,C_measured,5.0,1050.0,A1_FCC,0.9999999999933216,1340.0
mpea-02b,C_measured,5.0,1060.0,A1_FCC,0.9999999999900657,1340.0
mpea-02b,C_measured,5.0,1070.0,A1_FCC,0.9674904719382095,1340.0
mpea-02b,C_measured,5.0,1070.0,B2_BCC[A2],0.03250952808387521,1340.0
mpea-02b,C_measured,5.0,1080.0,A1_FCC,0.9138229616239509,1340.0
mpea-02b,C_measured,5.0,1080.0,B2_BCC[A2],0.08617703836516999,1340.0
mpea-02b,C_measured,5.0,1090.0,A1_FCC,0.8593438588184775,1340.0
mpea-02b,C_measured,5.0,1090.0,B2_BCC[A2],0.1406561411538027,1340.0
mpea-02b,C_measured,5.0,1100.0,A1_FCC,0.8042697285909929,1340.0
mpea-02b,C_measured,5.0,1100.0,B2_BCC[A2],0.19573027144074337,1340.0
mpea-02b,C_measured,5.0,1110.0,A1_FCC,0.7488886263015296,1340.0
mpea-02b,C_measured,5.0,1110.0,B2_BCC[A2],0.2511113737038133,1340.0
mpea-02b,C_measured,5.0,1120.0,A1_FCC,0.6935656318723769,1340.0
mpea-02b,C_measured,5.0,1120.0,B2_BCC[A2],0.3064343680915738,1340.0
mpea-02b,C_measured,5.0,1130.0,A1_FCC,0.6387410330416654,1340.0
mpea-02b,C_measured,5.0,1130.0,B2_BCC[A2],0.36125896700217713,1340.0
mpea-02b,C_measured,5.0,1140.0,A1_FCC,0.5849172010803949,1340.0
mpea-02b,C_measured,5.0,1140.0,B2_BCC[A2],0.41508279890047084,1340.0
mpea-02b,C_measured,5.0,1150.0,A1_FCC,0.5326312259173751,1340.0
mpea-02b,C_measured,5.0,1150.0,B2_BCC[A2],0.4673687740909017,1340.0
mpea-02b,C_measured,5.0,1160.0,A1_FCC,0.482413573405979,1340.0
mpea-02b,C_measured,5.0,1160.0,B2_BCC[A2],0.5175864265995355,1340.0
mpea-02b,C_measured,5.0,1170.0,A1_FCC,0.4347381431735617,1340.0
mpea-02b,C_measured,5.0,1170.0,B2_BCC[A2],0.5652618568541034,1340.0
mpea-02b,C_measured,5.0,1180.0,A1_FCC,0.38997411891948147,1340.0
mpea-02b,C_measured,5.0,1180.0,B2_BCC[A2],0.6100258811075003,1340.0
mpea-02b,C_measured,5.0,1190.0,A1_FCC,0.34835170802918775,1340.0
mpea-02b,C_measured,5.0,1190.0,B2_BCC[A2],0.6516482919811757,1340.0
mpea-02b,C_measured,5.0,1200.0,A1_FCC,0.3099502569225894,1340.0
mpea-02b,C_measured,5.0,1200.0,B2_BCC[A2],0.6900497430335331,1340.0
mpea-02b,C_measured,5.0,1210.0,A1_FCC,0.27470970659356064,1340.0
mpea-02b,C_measured,5.0,1210.0,B2_BCC[A2],0.72529029340091,1340.0
mpea-02b,C_measured,5.0,1220.0,A1_FCC,0.2424590860547813,1340.0
mpea-02b,C_measured,5.0,1220.0,B2_BCC[A2],0.7575409139308273,1340.0
mpea-02b,C_measured,5.0,1230.0,A1_FCC,0.21295233117215331,1340.0
mpea-02b,C_measured,5.0,1230.0,B2_BCC[A2],0.7870476688294205,1340.0
mpea-02b,C_measured,5.0,1240.0,A1_FCC,0.18590272193329857,1340.0
mpea-02b,C_measured,5.0,1240.0,B2_BCC[A2],0.8140972780885389,1340.0
mpea-02b,C_measured,5.0,1250.0,A1_FCC,0.16103136719311734,1340.0
mpea-02b,C_measured,5.0,1250.0,B2_BCC[A2],0.8389686328066719,1340.0
mpea-02b,C_measured,5.0,1260.0,A1_FCC,0.13800447948418054,1340.0
mpea-02b,C_measured,5.0,1260.0,B2_BCC[A2],0.8619955205354414,1340.0
mpea-02b,C_measured,5.0,1270.0,A1_FCC,0.1165740118506807,1340.0
mpea-02b,C_measured,5.0,1270.0,B2_BCC[A2],0.8834259881242829,1340.0
mpea-02b,C_measured,5.0,1280.0,A1_FCC,0.09649191858548035,1340.0
mpea-02b,C_measured,5.0,1280.0,B2_BCC[A2],0.9035080814184573,1340.0
mpea-02b,C_measured,5.0,1290.0,A1_FCC,0.07753519528990475,1340.0
mpea-02b,C_measured,5.0,1290.0,B2_BCC[A2],0.9224648046918901,1340.0
mpea-02b,C_measured,5.0,1300.0,A1_FCC,0.05950568043170946,1340.0
mpea-02b,C_measured,5.0,1300.0,B2_BCC[A2],0.9404943195611757,1340.0
mpea-02b,C_measured,5.0,1310.0,A1_FCC,0.04222832795458096,1340.0
mpea-02b,C_measured,5.0,1310.0,B2_BCC[A2],0.9577716720602442,1340.0
mpea-02b,C_measured,5.0,1320.0,A1_FCC,0.02554874684632962,1340.0
mpea-02b,C_measured,5.0,1320.0,B2_BCC[A2],0.9744512531592717,1340.0
mpea-02b,C_measured,5.0,1330.0,A1_FCC,0.009330499420299213,1340.0
mpea-02b,C_measured,5.0,1330.0,B2_BCC[A2],0.9906695005746349,1340.0
mpea-02b,C_measured,5.0,1340.0,B2_BCC[A2],0.9999999999954018,1340.0
mpea-02b,C_measured,5.0,1350.0,B2_BCC[A2],0.9999999999992323,1340.0
mpea-02b,C_measured,5.0,1360.0,B2_BCC[A2],0.9999999999973272,1340.0
mpea-02b,C_measured,5.0,1370.0,B2_BCC[A2],0.9999999999942994,1340.0
mpea-02b,C_measured,5.0,1380.0,B2_BCC[A2],1.0000000000014948,1340.0
mpea-02b,C_measured,5.0,1390.0,B2_BCC[A2],0.9999999999996695,1340.0
mpea-02b,C_measured,5.0,1400.0,B2_BCC[A2],0.9999999999757808,1340.0
mpea-02b,C_measured,5.0,450.0,A1_FCC,0.8750664475673561,1340.0
mpea-02b,C_measured,5.0,450.0,B2_BCC[ordered],0.12493355244845442,1340.0
mpea-02b,C_measured,5.0,475.0,A1_FCC,0.8780690845553002,1340.0
mpea-02b,C_measured,5.0,475.0,B2_BCC[ordered],0.12193091543961088,1340.0
mpea-02b,C_measured,5.0,500.0,A1_FCC,0.8815274101108637,1340.0
mpea-02b,C_measured,5.0,500.0,B2_BCC[ordered],0.11847258990594275,1340.0
mpea-02b,C_measured,5.0,525.0,A1_FCC,0.8854415225059931,1340.0
mpea-02b,C_measured,5.0,525.0,B2_BCC[ordered],0.1145584774860906,1340.0
mpea-02b,C_measured,5.0,550.0,A1_FCC,0.8898066236133697,1340.0
mpea-02b,C_measured,5.0,550.0,B2_BCC[ordered],0.11019337638594245,1340.0
mpea-02b,C_measured,5.0,575.0,A1_FCC,0.8946136896950978,1340.0
mpea-02b,C_measured,5.0,575.0,B2_BCC[ordered],0.10538631031867221,1340.0
mpea-02b,C_measured,5.0,600.0,A1_FCC,0.8998502906682434,1340.0
mpea-02b,C_measured,5.0,600.0,B2_BCC[ordered],0.10014970936165507,1340.0
mpea-02b,C_measured,5.0,625.0,A1_FCC,0.9055015071827857,1340.0
mpea-02b,C_measured,5.0,625.0,B2_BCC[ordered],0.09449849282270747,1340.0
mpea-02b,C_measured,5.0,650.0,A1_FCC,0.9115508945390655,1340.0
mpea-02b,C_measured,5.0,650.0,B2_BCC[ordered],0.08844910542273472,1340.0
mpea-02b,C_measured,5.0,675.0,A1_FCC,0.9179814498472034,1340.0
mpea-02b,C_measured,5.0,675.0,B2_BCC[ordered],0.08201855015233053,1340.0
mpea-02b,C_measured,5.0,700.0,A1_FCC,0.924776554685963,1340.0
mpea-02b,C_measured,5.0,700.0,B2_BCC[ordered],0.0752234453273366,1340.0
mpea-02b,C_measured,5.0,725.0,A1_FCC,0.9319208868812495,1340.0
mpea-02b,C_measured,5.0,725.0,B2_BCC[ordered],0.06807911312955839,1340.0
mpea-02b,C_measured,5.0,750.0,A1_FCC,0.9394013222163508,1340.0
mpea-02b,C_measured,5.0,750.0,B2_BCC[ordered],0.06059867776449351,1340.0
mpea-02b,C_measured,5.0,775.0,A1_FCC,0.947207881160152,1340.0
mpea-02b,C_measured,5.0,775.0,B2_BCC[ordered],0.05279211883844769,1340.0
mpea-02b,C_measured,5.0,800.0,A1_FCC,0.9553348253346868,1340.0
mpea-02b,C_measured,5.0,800.0,B2_BCC[ordered],0.044665174668213375,1340.0
mpea-02b,C_measured,5.0,825.0,A1_FCC,1.0000000000129117,1340.0
mpea-02b,C_measured,5.0,850.0,A1_FCC,1.0000000000054658,1340.0
mpea-02b,C_measured,5.0,875.0,A1_FCC,0.9999999999905681,1340.0
mpea-02b,C_measured,5.0,900.0,A1_FCC,1.0000000000306815,1340.0
mpea-02b,C_measured,5.0,925.0,A1_FCC,0.99999999998397,1340.0
mpea-02b,C_measured,5.0,950.0,A1_FCC,0.9999999999997232,1340.0
mpea-02b,C_measured,5.4,1000.0,A1_FCC,1.000000000014559,1340.0
mpea-02b,C_measured,5.4,1010.0,A1_FCC,1.0000000000012446,1340.0
mpea-02b,C_measured,5.4,1020.0,A1_FCC,1.000000000020168,1340.0
